submitted_on,community_type,latitude,longitude,traditional_authority,district,familiar_sanitation_types,latrines_in_community,sanitation_system_home,photo_sanitation_facility,sanitation_location_to_home,purchase_installation_process,latrine_installed,system_duration_magnitude,system_duration_unit,latrine_builder,facility_in_use,is_pit_lined,pit_lining_material,other_waste_disposed,other_waste_specified,biogas_generation,toilet_build_cost,cost_affordability,reasonable_cost_magnitude,reasonable_cost_unit,install_duration_magnitude,install_duration_unit,latrine_usage_process,safe_for_vulnerable,adapted_for_disabled,men_use_for_urination,liked_features,liked_features_other,sit_or_squat,currently_do,used_at_night,has_light,bring_own_light,bring_own_light_comments,odor_control,has_vent_pipe,prefer_less_odor,satisfaction_with_latrine,issues_with_animals,animal_issues_other,ideal_latrine_description,latrine_within_30m_water,latrine_distance_to_water,water_source,flush_with_water,latrine_description,soil_description,soil_description_other,latrine_user_count,latrine_built_year,expected_lifespan_magnitude,expected_lifespan_unit,privacy_enclosure_other_uses,above_ground_maintenance,above_ground_maintenance_other,above_ground_cleaning,uses_cleaning_chemicals,maintenance_frequency,maintenance_by,maintenance_by_other,maintenance_cost,cleaning_major_issue,pit_latrine_condition,is_filled_up,is_replacement,previous_filled_count,fill_up_speed,is_abandoned,reason_for_abandonment,is_emptied,why_not_emptied,why_not_emptied_other,emptying_frequency,emptying_method
10/15/2020,Peri Urban,-13.5245769,33.7412967,Mponela Urban,Dowa,"Composting Toilet, Pit Latrine with Slab, Flush/Pour flush toilet",Yes,Individual,https://api.mwater.co/v3/images/14e278b1c6b84575a26914cf94e5f451,Between 10 meters to 15 meters,"We bought materials like cement, bricks nd iron sheets, then we hired local artesans to build it",Yes,31,Years,Local artesans,Yes,No,NA,Ashes,NA,Not Applicable,"MK 25,000 - 50,000",Somewhat easy,20000,MK,2,Weeks,"I get tissue paper or any paper and go to the latrine after using it, i wash hand the off i go",Very safe,No,Yes,"Concrete Slab, Iron Sheets Roof",NA,Squat,Squatting,Yes,No,Yes,I bring my own torch light,No,No,Yes,3 (satisfied),Yes,NA,There is certaing latrines that allow squatting but uses water,No,NA,Piped into yard/plot,Yes,"Our latrine is 1.5metres deep, it is circular in shape, it is covered with log of tree then smeared with cement, bricks were used to build walls the iron sheet3d roof, it has cement plaster inside",Dry,NA,1 to 5 people,11/5/2018,3,Years,No,Door maintenance,NA,Mopping,Water only,Daily,Owner of the house,NA,No cost,No,Structurally stable,No,Yes,4,1-2 years,Abandoned,Collapsed due to rainfall,No,Lack of technical knowledge to empty latrine,NA,NA,NA
10/15/2020,Peri Urban,-13.6567029,33.9397457,Dowa Boma,Dowa,Pit Latrine without slab/Open pit,No,NA,https://api.mwater.co/v3/images/91dfe8ebe2244a7abbf7bdc72fdcd7a0,Less than 10 meters,Was bought with the plot,NA,NA,NA,NA,Yes,No,NA,Ashes,NA,No,NA,Somewhat easy,15000,MK,1,Weeks,Wake up in the morning and ise the latrine before leaving for farm,Reasonably safe,No,Yes,None,NA,Squat,Sitting,Yes,No,Yes,Torch,No,No,no,3 (satisfied),No,NA,Plastered with steel roof,No,NA,"Unprotected dug well, Piped into dwelling, Protected dug well",No,"Dug down about 4 meters, use mud to build and grass for the roof.",Dry,NA,1 to 5 people,1/10/2018,3,Months,No,Roof maintenance,NA,"Smearing, Sweeping",None,Daily,Owner of the house,NA,"MK 5,000 - 10,000",No,Structurally stable,No,No,NA,NA,Not Applicable,NA,Not Applicable,NA,NA,NA,NA
10/15/2020,Peri Urban,-13.5245091,33.7404714,Mponela Urban,Dowa,Pit Latrine with Slab,Yes,communal,https://api.mwater.co/v3/images/065fdaa58a86465eb1f730be64d13b7f,Less than 10 meters,NA,Yes,NA,Years,Dont know,Yes,Yes,Bricks,Other,Pads,No,"MK 25,000 - 50,000",Dont know,15000,MK,1,Weeks,Use it whenever there is need. House is situated in a plot so each tenant has own latrine,Very safe,No,Yes,"Concrete Slab, Iron Sheets Roof",NA,Seat,Squatting,Yes,No,Yes,Torch,No,No,Yes,3 (satisfied),No,NA,Seating,Yes,1,Piped into dwelling,No,Have access to a concrete latrine because they stay in leased households,Other,Concrete,1 to 5 people,3/22/2018,6,Years,No,Door maintenance,NA,"Sweeping, Mopping",Soap and water,Daily,Other,Landlord,"MK 1,000 - 5,000",No,Structurally stable,No,No,NA,NA,Not Applicable,NA,Not Applicable,NA,NA,NA,NA
10/15/2020,Rural,-13.5176015,33.7414898,TA Dzoole,Dowa,Pit Latrine without slab/Open pit,Dont know,NA,https://api.mwater.co/v3/images/00cbb6add45f4874b7ec26ec7aa6d5a3,Less than 10 meters,Just moved into dwelling a month ago,NA,NA,NA,NA,Yes,Yes,Bricks,"Other, Ashes",Rotten stuff,No,NA,Dont know,15000,MK,1,Weeks,Husband uses latrine before work. Have 2 small  children who need assistance using latrine. Mrs is stay at home mum and uses regularly,Very safe,Yes,Yes,"Concrete Slab, Iron Sheets Roof",NA,Seat,Squatting,Yes,No,Yes,Torch,Yes,No,Yes,3 (satisfied),No,NA,"Seat, cover for flies, more space, better door",Yes,5,Piped into dwelling,No,First latrine to own. But have used basic latrines made of mud Bricks and grasa for roofing,Dry,NA,6 to 10 people,6/6/2018,2,Years,No,Other,No maintenance,"Sweeping, Mopping",None,None,Other,Landlord,"Less than MK 1,000",No,Structurally stable,No,No,NA,NA,Not Applicable,NA,No,Not Applicable,NA,NA,NA
10/15/2020,Peri Urban,-13.6548592,33.9391685,Dowa Boma,Dowa,"Pit Latrine with Slab, Pit Latrine without slab/Open pit, Flush/Pour flush toilet",No,NA,https://api.mwater.co/v3/images/2c0827db0ee54536926394e3796bd91a,Less than 10 meters,"Dug a pit 2 m deep. Was divided in two to make two toilets, one for males and the other for females. Used metal bars, quary and bricks to line the pit. Put a san plat. Used burnt bricks to build the walls and then put iron sheets on the roof. Inside walls were painted with lime",NA,NA,NA,NA,Yes,Yes,Cement Concrete,Other,Chlorine,No,NA,Difficult,50000,MK,1,Months,When they enter the toilet after they are done they use water and soap for cleansing. The toilet is connected to a bathroom where the water and soap for cleansing is kept,Very safe,Yes,Yes,Other,"It is smart, no smell",Squat,Squatting,Yes,No,Yes,Torch,No,No,Yes,3 (satisfied),No,NA,Should be a flush toilet. Have lights in it,Yes,2,Piped into yard/plot,No,"Pit latrine with a slab, has iron sheets. The pit is lined. The walls have been painted with lime. It is a smart toilet",Dry,NA,6 to 10 people,10/11/2015,4,Years,No,Wall maintenance,NA,"Sweeping, Mopping","Water only, Chlorine",Weekly,Owner of the house,NA,"MK 5,000 - 10,000",No,Structurally stable,No,No,NA,NA,Not Applicable,NA,No,Other,Not full,NA,NA
10/15/2020,Rural,-13.6556332,33.944607,TA Chiwere,Dowa,"Flush/Pour flush toilet, Ventilated Improved pit (VIP) Latrine, Pit Latrine with Slab, Pit Latrine without slab/Open pit",No,NA,https://api.mwater.co/v3/images/b3d0aed8768046a6bf3ae34d0e6f14bb,Less than 10 meters,"Bought bricks for the floor and wall
Floor is plastered and smeared
The roof is thatched",NA,NA,NA,NA,Yes,No,NA,Ashes,NA,No,NA,Difficult,50000,MK,1,Years,"She uses carton papers as toilet papers
And she uses a bucket for washing hands",Very safe,No,No,"Concrete Slab, Iron Sheets Roof, Other",Toilet tissue and most importantly soap,Seat,Sitting,Yes,No,Yes,Flashlight,No,No,Yes,3 (satisfied),Other,A lot of cockroaches to the point of flying around even in the house,"Latrine with a seat
Iron sheets 
Cemented floor
A locked door",Yes,60,Protected dug well,No,It was built using burnt bricks for the floor and and wall and has a thatched roof the floor is plastered,Dry,NA,1 to 5 people,1/1/2018,5,Years,NA,Roof maintenance,NA,Smearing,Soap and water,Monthly,Owner of the house,NA,No cost,No,Structurally stable,No,Yes,1,More than 3 years,Abandoned,Replaced by new sanitation facility,No,Other,Doesnt have to the motivation to start yet,NA,NA
10/15/2020,Peri Urban,-13.6554583,33.9405854,Dowa Boma,Dowa,Flush/Pour flush toilet,No,NA,https://api.mwater.co/v3/images/6699c1f940c24a428955f2518a3ca9ab,Between 10 meters to 15 meters,"Bought cement
Burnt bricks
Plastered floor with cement 
Then built the wall and a
Thatched grass",NA,NA,NA,NA,Yes,Yes,Cement Concrete,Ashes,NA,No,NA,Somewhat easy,50000,MK,1,Weeks,"They use toilet paper and tissue 
There is a tap close by which is used for washing hands and a bucket when there is no water",Very safe,Yes,Yes,"Iron Sheets Roof, Other",A door that can be locked,Squat,Squatting,Yes,Yes,NA,NA,Yes,No,Yes,2 (rarely satisfied),Other,Mites are a problem,"It should have a seat
It should use water to flush 
It should use cement",Yes,20,Piped into dwelling,No,"It was built using bricks ,and the floor was plastered 
Then the wall was erected , theres no roof",Dry,NA,6 to 10 people,10/1/2019,2,Years,No,Other,No maintenance,Mopping,Soap and water,Weekly,Owner of the house,NA,No cost,Yes,Structurally stable,Yes,Yes,3,More than 3 years,Abandoned,Replaced by new sanitation facility,No,Other,Its disgusting to do,NA,NA
10/15/2020,Rural,-13.6646533,33.849215,TA Msakambewa,Dowa,"Flush/Pour flush toilet, Ventilated Improved pit (VIP) Latrine, Pit Latrine with Slab, Pit Latrine without slab/Open pit",No,NA,https://api.mwater.co/v3/images/caf9058122a3467a9fdd3b82c22ef141,Between 10 meters to 15 meters,"Bricks were moulded 
Logs were found around the area
A paper was bought for roofing the thatched roof",NA,NA,NA,NA,No,No,NA,Ashes,NA,No,NA,Difficult,20000,MK,1,Weeks,"They use papers and leaves 
And they use buckets or call someone to help washing their hands",Unsafe,No,No,Other,A stable wall,Squat,Squatting,Yes,Yes,NA,NA,Yes,No,Yes,1 (not satisfied),Other,Cockroaches are a big problem,"A latrine with a drop hole
Cemented floor
Burnt bricks 
With an iron sheets",No,NA,Borehole or tubewell,No,"It was built using moulded bricks
Uses a sack for a door 
Has a thatched roof",Dry,NA,1 to 5 people,12/1/2019,2,Years,No,"Roof maintenance, Wall maintenance, Floor maintenance",NA,Smearing,Water only,Weekly,Owner of the house,NA,No cost,No,Structurally stable,No,Yes,15,More than 3 years,Abandoned,Replaced by new sanitation facility,No,Other,Not interested,NA,NA
10/15/2020,Rural,-13.7653108,34.3451364,TA Karonga,Salima,"Ventilated Improved pit (VIP) Latrine, Pit Latrine with Slab, Pit Latrine without slab/Open pit",No,NA,https://api.mwater.co/v3/images/98c9c60d2c914717b44a8adb1b5b36c6,Between 10 meters to 15 meters,"Built using moulded bricks for the floor
Raised a wall with moulded bricks 
Has a thatched roof",NA,NA,NA,NA,No,No,NA,Ashes,NA,No,NA,Easy,3000,MK,3,Weeks,"We use papers as tissue
We use a bucket to wash hands",Reasonably safe,No,Yes,"Other, Iron Sheets Roof",Drop hole cover,Squat,Squatting,Yes,No,Yes,NA,No,No,Yes,3 (satisfied),Yes,NA,"It should have iron sheets
Burnt bricks",No,NA,Borehole or tubewell,No,"It was built using moulded bricks for the floor and wall
Has a thatched roof",Dry,NA,1 to 5 people,10/1/2019,1,Years,No,"Wall maintenance, Roof maintenance, Floor maintenance",NA,Smearing,Water only,Monthly,Owner of the house,NA,No cost,Yes,Structurally stable,No,Yes,2,Less than 6 months,Could be used again,NA,No,Other,"Its been a waste of time ,the manure destroys crops when pit is emptied",NA,NA
10/15/2020,Rural,-13.7656714,34.345319,TA Karonga,Salima,"Flush/Pour flush toilet, Pit Latrine with Slab, Composting Toilet",No,NA,https://api.mwater.co/v3/images/9b2d8675099c44ee83c83c24bb34fed1,Between 10 meters to 15 meters,"Bought bricks bamboos and  threads used burnt bricks for the floor
Raised a wall with burnt bricks 
Uses thatched roof and grass stalks door",NA,NA,NA,NA,No,No,NA,Ashes,NA,No,NA,Somewhat difficult,6000,MK,2,Weeks,"Papers are used for wiping
Handwashing is done using a bottle filled with water after using the latrine",Reasonably safe,No,Yes,"Concrete Slab, Other, Iron Sheets Roof",Burnt bricks,Seat,Sitting,Yes,No,Yes,Flashlight or lit grass,Yes,No,Yes,2 (rarely satisfied),Yes,NA,A VIP toilet,No,NA,Surface Water,No,"Built using bricks bamboos and  threads used burnt bricks for the floor
Raised a wall with burnt bricks 
Uses thatched roof and grass stalks door",Dry,NA,1 to 5 people,6/1/2019,2,Years,No,Floor maintenance,NA,Smearing,Water only,Monthly,Owner of the house,NA,No cost,Yes,Structurally stable,No,Yes,2,2-3 years,Abandoned,Replaced by new sanitation facility,No,Lack of money to pay service provider,NA,NA,NA
10/15/2020,Rural,-13.7658033,34.3451019,TA Karonga,Salima,"Flush/Pour flush toilet, Ventilated Improved pit (VIP) Latrine, Pit Latrine with Slab, Composting Toilet, Pit Latrine without slab/Open pit",No,NA,https://api.mwater.co/v3/images/a217fbb239ed4511a469bfc113b14e59,Between 10 meters to 15 meters,"Dug a hole
Put logs and bricks for the floor
Used moulded bricks for the wall
Thatched grass for the roof",NA,NA,NA,NA,Yes,No,NA,Ashes,NA,No,NA,Difficult,10000,MK,1,Weeks,"They use a drop hole and papers for wiping 
Water is put in bottles for handwashing but sometimes its not available",Very safe,No,Yes,"Other, Iron Sheets Roof, Concrete Slab",Burnt bricks,Seat,Sitting,Yes,No,Yes,NA,Yes,No,Yes,1 (not satisfied),Yes,NA,Would prefer a composting latrine,No,NA,Borehole or tubewell,No,"Dug a hole
Put logs and bricks for the floor
Used moulded bricks for the wall
Thatched grass for the roof",Dry,NA,6 to 10 people,1/1/2018,2,Years,No,"Roof maintenance, Wall maintenance, Floor maintenance",NA,"Sweeping, Smearing",Water only,Monthly,Owner of the house,NA,No cost,Yes,Structurally stable,No,Yes,5,6 months - 1 year,Abandoned,Replaced by new sanitation facility,No,Lack of technical knowledge to empty latrine,NA,NA,NA
10/15/2020,Rural,-13.6550947,33.9443898,TA Chiwere,Dowa,"Flush/Pour flush toilet, Pit Latrine without slab/Open pit",No,NA,https://api.mwater.co/v3/images/1ddd8546a0bc43bb85a8ae4b1313734d,Less than 10 meters,The man of the house dug the pit then put tree logs on top of the pit. To build the walls they used mud bricks which were left over  when the house was being built,NA,NA,NA,NA,Yes,No,NA,Other,Nothing,No,NA,Easy,10000,MK,1,Weeks,There are papers in the toilet which they use for cleansing. They use water from a bucket to wash hands,Unsafe,No,Yes,None,NA,Squat,Squatting,Yes,No,Yes,Torch,Yes,No,Yes,1 (not satisfied),Yes,NA,"Use burnt bricks to build walls, have a san plat and iron sheets roof",No,NA,Borehole or tubewell,No,"No roof, nearly full. No door.",Dry,NA,6 to 10 people,1/1/2017,2,Weeks,No,"Roof maintenance, Floor maintenance",NA,Smearing,None,Monthly,Owner of the house,NA,No cost,No,Partially collapsed but in use,Yes,Yes,2,More than 3 years,Not Applicable,NA,No,Lack of technical knowledge to empty latrine,NA,NA,NA
